"1 (n=22) Mean +/- SD";"4 (n=78) Mean +/- SD";"1 (n=22) Median (IQR)";"4 (n=78) Median (IQR)";"Pval_Shapiro";"Pval_Levene";"Pval_Bartlett";"Pval_ANOVA*";"4 - 1 (Tukey*)"
"X_280925.txt.gz1.tbl.gz";"-0.0713 +/- 0.039247";"-0.080441 +/- 0.047586";"-0.0682 (-0.0682;-0.0682)";"-0.0682 (-0.1364;-0.0682)";1.6009e-10;0.10833;0.29063;0.41166;0.41166
"X_281650.txt.gz1.tbl.gz";"-0.13807 +/- 0.049852";"-0.12851 +/- 0.068599";"-0.10125 (-0.2025;-0.10125)";"-0.10125 (-0.2025;-0.10125)";3.3336e-11;0.18298;0.087963;0.54406;0.54406
"X_281923.txt.gz1.tbl.gz";"0.055045 +/- 0.039097";"0.058357 +/- 0.048373";"0.056174 (0.031471;0.079383)";"0.06995 (0.021875;0.10022)";0.0048956;0.25091;0.24484;0.76881;0.76881
"X_282256.txt.gz1.tbl.gz";"-0.023409 +/- 0.017763";"-0.028821 +/- 0.023422";"-0.026975 (-0.031446;-0.0028899)";"-0.025017 (-0.052971;0)";4.3283e-07;0.12347;0.13587;0.31784;0.31784
"X_282882.txt.gz1.tbl.gz";"-0.12223 +/- 0.075286";"-0.15075 +/- 0.086246";"-0.12344 (-0.17922;-0.044625)";"-0.14575 (-0.19038;-0.092219)";0.00014136;0.61402;0.45085;0.16285;0.16285
"X_282919.txt.gz1.tbl.gz";"0.14438 +/- 0.090496";"0.15271 +/- 0.090689";"0.13235 (0.13235;0.23161)";"0.13235 (0.13235;0.2647)";1.996e-10;0.78929;0.99031;0.70428;0.70428
"X_283129.txt.gz1.tbl.gz";"0.25995 +/- 0.028356";"0.24042 +/- 0.060845";"0.266 (0.266;0.266)";"0.266 (0.266;0.266)";5.1198e-18;0.14815;0.00019904;0.14815;0.14815
"X_28351.txt.gz1.tbl.gz";"-0.014973 +/- 0.032509";"-0.032729 +/- 0.046622";"0 (0;0)";"0 (-0.08235;0)";1.7603e-14;0.097629;0.056052;0.097629;0.097629
"X_28373.txt.gz1.tbl.gz";"-0.076874 +/- 0.057455";"-0.084543 +/- 0.066854";"-0.0863 (-0.12439;-0.04315)";"-0.0863 (-0.13517;-0.04315)";8.3737e-06;0.38225;0.40208;0.62587;0.62587
"X_284113.txt.gz1.tbl.gz";"0.10117 +/- 0.052711";"0.098495 +/- 0.046444";"0.1436 (0.0718;0.1436)";"0.0718 (0.0718;0.1436)";1.367e-11;0.76961;0.46036;0.81718;0.81718
"X_284313.txt.gz1.tbl.gz";"0.28894 +/- 0.044534";"0.27942 +/- 0.054961";"0.3027 (0.3027;0.3027)";"0.3027 (0.3027;0.3027)";3.4921e-18;0.4575;0.25025;0.4575;0.4575
"X_284453.txt.gz1.tbl.gz";"-0.039542 +/- 0.033047";"-0.030849 +/- 0.044325";"-0.032754 (-0.053596;-0.025198)";"-0.029804 (-0.067154;-0.0069375)";0.042834;0.090735;0.11465;0.39516;0.39516
"X_28482.txt.gz1.tbl.gz";"-0.12526 +/- 0.041307";"-0.12469 +/- 0.046536";"-0.1621 (-0.1621;-0.08105)";"-0.1621 (-0.1621;-0.08105)";3.1256e-13;0.95892;0.50699;0.95892;0.95892
