"1 (n=22) Mean +/- SD";"4 (n=78) Mean +/- SD";"1 (n=22) Median (IQR)";"4 (n=78) Median (IQR)";"Pval_Shapiro";"Pval_Levene";"Pval_Bartlett";"Pval_ANOVA*";"4 - 1 (Tukey*)"
"X_4994178.txt.gz1.tbl.gz";"-0.073887 +/- 0.032652";"-0.059976 +/- 0.029435";"-0.0679 (-0.0868;-0.053279)";"-0.0679 (-0.0679;-0.03395)";3.7802e-07;0.65984;0.54692;0.058918;0.058918
"X_499666.txt.gz1.tbl.gz";"-0.13995 +/- 0.087761";"-0.1301 +/- 0.087128";"-0.18697 (-0.18839;-0.072606)";"-0.16052 (-0.18839;-0.064912)";2.8262e-07;0.86993;0.96707;0.64126;0.64126
"X_500052.txt.gz1.tbl.gz";"-0.14288 +/- 0.055082";"-0.15764 +/- 0.047373";"-0.1849 (-0.1849;-0.09245)";"-0.1849 (-0.1849;-0.09245)";8.7343e-15;0.21619;0.37719;0.21619;0.21619
"X_500671.txt.gz1.tbl.gz";"0.17905 +/- 0.043322";"0.17222 +/- 0.049128";"0.202 (0.202;0.202)";"0.202 (0.101;0.202)";1.6685e-15;0.5566;0.48449;0.5566;0.5566
"X_50071.txt.gz1.tbl.gz";"-0.1539 +/- 0.040616";"-0.14919 +/- 0.044129";"-0.1782 (-0.1782;-0.11138)";"-0.1782 (-0.1782;-0.0891)";6.6138e-15;0.65411;0.64183;0.65411;0.65411
"X_500851.txt.gz1.tbl.gz";"-0.0094977 +/- 0.04221";"0.0036019 +/- 0.035525";"-0.0031 (-0.034975;0.018197)";"0 (-0.0069125;0.0317)";6.516e-05;0.37672;0.31066;0.14632;0.14632
"X_501449.txt.gz1.tbl.gz";"0.060518 +/- 0.0414";"0.073967 +/- 0.047286";"0.0634 (0.0634;0.0634)";"0.0634 (0.0634;0.1268)";3.3807e-10;0.1663;0.46055;0.22966;0.22966
"X_503327.txt.gz1.tbl.gz";"-0.0063017 +/- 0.055581";"-0.010693 +/- 0.054126";"0 (0;0.03965)";"0 (-0.045575;0.03965)";8.8481e-09;0.96264;0.87924;0.73901;0.73901
"X_503479.txt.gz1.tbl.gz";"-0.065001 +/- 0.038374";"-0.068012 +/- 0.042994";"-0.05085 (-0.0783;-0.05085)";"-0.05085 (-0.1017;-0.05085)";9.3067e-07;0.18014;0.5264;0.76739;0.76739
"X_503650.txt.gz1.tbl.gz";"-0.030022 +/- 0.040178";"-0.020718 +/- 0.033702";"-0.032838 (-0.04905;-0.0056562)";"-0.017538 (-0.048059;-0.00039375)";0.0042602;0.442;0.30111;0.27607;0.27607
"X_506062.txt.gz1.tbl.gz";"0.086591 +/- 0.059003";"0.080108 +/- 0.05614";"0.0762 (0.0762;0.1524)";"0.0762 (0.0762;0.1524)";4.2896e-10;0.66616;0.77484;0.63718;0.63718
"X_5066134.txt.gz1.tbl.gz";"0.037205 +/- 0.05492";"0.028333 +/- 0.041352";"0 (0;0.08185)";"0 (0;0.08185)";3.3644e-14;0.41201;0.089143;0.41201;0.41201
"X_50699.txt.gz1.tbl.gz";"0.093386 +/- 0.069375";"0.10826 +/- 0.059825";"0.0677 (0.040983;0.16212)";"0.1354 (0.047662;0.16212)";2.5054e-06;0.29322;0.3859;0.32278;0.32278
"X_507882.txt.gz1.tbl.gz";"0.037956 +/- 0.049746";"0.031863 +/- 0.05438";"0.05095 (-0.014856;0.05095)";"0.05095 (-0.0283;0.05095)";4.9164e-08;0.56654;0.61796;0.63765;0.63765
"X_5080131.txt.gz1.tbl.gz";"0.15587 +/- 0.067154";"0.15009 +/- 0.077818";"0.11825 (0.11825;0.2365)";"0.11825 (0.11825;0.2365)";3.3607e-11;0.45605;0.41464;0.75197;0.75197
"X_5084154.txt.gz1.tbl.gz";"-0.071442 +/- 0.041297";"-0.074297 +/- 0.048948";"-0.07795 (-0.07795;-0.047406)";"-0.07795 (-0.11168;-0.038975)";4.5856e-06;0.085791;0.34897;0.80354;0.80354
"X_5088175.txt.gz1.tbl.gz";"-0.047812 +/- 0.03374";"-0.042358 +/- 0.032669";"-0.05225 (-0.071404;-0.046546)";"-0.047275 (-0.071404;-0.02145)";0.004194;0.3225;0.85343;0.49392;0.49392
"X_508911.txt.gz1.tbl.gz";"0.0032879 +/- 0.037544";"0.010235 +/- 0.044365";"0 (-0.023717;0.026317)";"0 (-0.023717;0.026317)";0.0092902;0.45453;0.35733;0.50484;0.50484
"X_509049.txt.gz1.tbl.gz";"-0.035727 +/- 0.043949";"-0.049545 +/- 0.05083";"0 (-0.0655;0)";"-0.0655 (-0.0655;0)";3.2682e-11;0.39534;0.42057;0.24975;0.24975
"X_509128.txt.gz1.tbl.gz";"0.29896 +/- 0.16244";"0.31403 +/- 0.15173";"0.2268 (0.2268;0.4536)";"0.2268 (0.2268;0.4536)";1.6316e-11;0.99227;0.6938;0.68631;0.68631
"X_509251.txt.gz1.tbl.gz";"-0.059195 +/- 0.072818";"-0.06864 +/- 0.092475";"0 (-0.1447;0)";"0 (-0.1447;0)";3.8886e-13;0.65989;0.19412;0.65989;0.65989
"X_509521.txt.gz1.tbl.gz";"0.090318 +/- 0.067932";"0.076423 +/- 0.063893";"0.09935 (0.024838;0.09935)";"0.09935 (0;0.09935)";7.908e-11;0.95423;0.72388;0.37642;0.37642
"X_509714.txt.gz1.tbl.gz";"-0.043464 +/- 0.039688";"-0.049036 +/- 0.039531";"-0.0683 (-0.0683;0)";"-0.0683 (-0.0683;0)";4.4546e-12;0.71349;0.98199;0.56095;0.56095
"X_510053.txt.gz1.tbl.gz";"-0.084827 +/- 0.05114";"-0.081176 +/- 0.046385";"-0.06665 (-0.1333;-0.06665)";"-0.06665 (-0.1333;-0.06665)";1.2828e-10;0.36161;0.57126;0.75057;0.75057
"X_510330.txt.gz1.tbl.gz";"-0.0029511 +/- 0.05648";"0.0010362 +/- 0.050348";"-0.014762 (-0.045275;0.0315)";"0 (-0.045275;0.01575)";0.00020221;0.31367;0.50353;0.75015;0.75015
"X_510457.txt.gz1.tbl.gz";"0.079799 +/- 0.11019";"0.087592 +/- 0.090657";"0 (0;0.16605)";"0.095075 (0;0.16605)";2.5563e-12;0.70161;0.24948;0.73521;0.73521
"X_510872.txt.gz1.tbl.gz";"0.015941 +/- 0.054658";"0.013488 +/- 0.03759";"0 (0;0)";"0 (0;0)";9.0374e-19;0.80865;0.022922;0.80865;0.80865
"X_511115.txt.gz1.tbl.gz";"0.25009 +/- 0.054301";"0.25394 +/- 0.049949";"0.2751 (0.2751;0.2751)";"0.2751 (0.2751;0.2751)";9.2144e-18;0.75491;0.62885;0.75491;0.75491
"X_511273.txt.gz1.tbl.gz";"-0.072818 +/- 0.089576";"-0.084436 +/- 0.11376";"0 (-0.178;0)";"0 (-0.178;0)";3.8886e-13;0.65989;0.19412;0.65989;0.65989
"X_51213.txt.gz1.tbl.gz";"-0.034761 +/- 0.065605";"-0.013726 +/- 0.043998";"0 (0;0)";"0 (0;0)";1.2279e-18;0.081045;0.014829;0.081045;0.081045
"X_512292.txt.gz1.tbl.gz";"-0.047975 +/- 0.049104";"-0.059046 +/- 0.06419";"-0.047975 (-0.09595;0)";"-0.09595 (-0.09595;0)";7.3086e-12;0.39897;0.14786;0.45594;0.45594
"X_512469.txt.gz1.tbl.gz";"-0.021117 +/- 0.034432";"-0.004926 +/- 0.060818";"0 (-0.063825;0)";"0 (-0.063825;0)";1.9647e-08;0.15539;0.0038939;0.23572;0.23572
"X_512853.txt.gz1.tbl.gz";"0.093164 +/- 0.051423";"0.11637 +/- 0.041602";"0.0732 (0.0732;0.1464)";"0.1464 (0.0732;0.1464)";6.7336e-13;0.31652;0.20964;0.030889;0.030889
"X_512912.txt.gz1.tbl.gz";"-0.50276 +/- 0.28414";"-0.41169 +/- 0.27624";"-0.7136 (-0.7136;-0.3568)";"-0.3568 (-0.7136;-0.3568)";7.6447e-11;0.85906;0.87161;0.17781;0.17781
"X_513452.txt.gz1.tbl.gz";"-0.14838 +/- 0.088061";"-0.14362 +/- 0.090101";"-0.18265 (-0.21845;-0.091325)";"-0.18265 (-0.21845;-0.091325)";2.4382e-07;0.8517;0.89663;0.82643;0.82643
"X_513932.txt.gz1.tbl.gz";"-0.020335 +/- 0.064638";"-0.042941 +/- 0.058942";"-0.0095 (-0.067625;-0.00475)";"-0.067625 (-0.067625;-0.00475)";2.154e-06;0.98098;0.59288;0.1231;0.1231
"X_52024.txt.gz1.tbl.gz";"0.033454 +/- 0.032418";"0.043664 +/- 0.037613";"0.030167 (0.025042;0.060333)";"0.060333 (0.024204;0.060333)";0.0005125;0.18626;0.41073;0.25021;0.25021
"X_522636.txt.gz1.tbl.gz";"0.0649 +/- 0.04906";"0.06074 +/- 0.049437";"0.0649 (0.016225;0.11358)";"0.0649 (0;0.11358)";4.2847e-10;0.79483;0.96523;0.72771;0.72771
"X_522990.txt.gz1.tbl.gz";"0.0343 +/- 0.050765";"0.042215 +/- 0.043147";"0 (0;0.0686)";"0.0686 (0;0.0686)";7.7439e-12;0.77715;0.33995;0.46685;0.46685
"X_524237.txt.gz1.tbl.gz";"-0.19422 +/- 0.070274";"-0.17689 +/- 0.081419";"-0.21014 (-0.23415;-0.13647)";"-0.207 (-0.23415;-0.12218)";3.6496e-05;0.50338;0.41517;0.36691;0.36691
"X_525686.txt.gz1.tbl.gz";"-0.083905 +/- 0.057399";"-0.095788 +/- 0.060412";"-0.0879 (-0.0879;-0.0879)";"-0.0879 (-0.1758;-0.0879)";2.4507e-10;0.59192;0.77282;0.41222;0.41222
"X_52592.txt.gz1.tbl.gz";"-0.027109 +/- 0.074711";"-0.02485 +/- 0.055926";"0 (0;0)";"0 (0;0)";1.4954e-17;0.87728;0.082455;0.87728;0.87728
"X_52715.txt.gz1.tbl.gz";"-0.1817 +/- 0.043966";"-0.17543 +/- 0.049052";"-0.205 (-0.205;-0.205)";"-0.205 (-0.205;-0.1025)";2.1049e-15;0.58921;0.5415;0.58921;0.58921
"X_530889.txt.gz1.tbl.gz";"0.41544 +/- 0.045316";"0.4033 +/- 0.064903";"0.4251 (0.4251;0.4251)";"0.4251 (0.4251;0.4251)";2.1703e-19;0.41355;0.056877;0.41355;0.41355
"X_533573.txt.gz1.tbl.gz";"0.272 +/- 0.051265";"0.28067 +/- 0.039143";"0.2919 (0.2919;0.2919)";"0.2919 (0.2919;0.2919)";2.1703e-19;0.39468;0.10683;0.39468;0.39468
"X_534374.txt.gz1.tbl.gz";"0.11865 +/- 0.053202";"0.12703 +/- 0.046105";"0.1582 (0.0791;0.1582)";"0.1582 (0.0791;0.1582)";1.5351e-13;0.46854;0.40229;0.46854;0.46854
"X_534624.txt.gz1.tbl.gz";"-0.073595 +/- 0.067203";"-0.09341 +/- 0.081367";"-0.11565 (-0.11565;0)";"-0.11565 (-0.11565;0)";1.0575e-10;0.56041;0.29401;0.29861;0.29861
"X_535389.txt.gz1.tbl.gz";"-0.12545 +/- 0.048904";"-0.14218 +/- 0.063356";"-0.12452 (-0.184;-0.078525)";"-0.12452 (-0.184;-0.11895)";1.2795e-05;0.25533;0.16118;0.25526;0.25526
"X_535411.txt.gz1.tbl.gz";"-0.063048 +/- 0.047705";"-0.050808 +/- 0.046306";"-0.06605 (-0.06605;-0.016512)";"-0.06605 (-0.06605;0)";1.8841e-10;0.75254;0.86465;0.27933;0.27933
"X_535569.txt.gz1.tbl.gz";"0.011543 +/- 0.029733";"0.028217 +/- 0.046598";"0 (0;0)";"0 (0;0.08465)";1.839e-15;0.11587;0.019415;0.11587;0.11587
"X_536351.txt.gz1.tbl.gz";"-0.025683 +/- 0.085694";"-0.011547 +/- 0.072102";"-0.038642 (-0.079637;0.028242)";"-0.018317 (-0.052392;0.029023)";0.64812;0.29233;0.30991;0.43814;0.43814
"X_539273.txt.gz1.tbl.gz";"-0.12647 +/- 0.042706";"-0.11569 +/- 0.046455";"-0.1504 (-0.1504;-0.094)";"-0.1504 (-0.1504;-0.0752)";1.5436e-13;0.33065;0.63721;0.33065;0.33065
"X_540052.txt.gz1.tbl.gz";"0.054965 +/- 0.076731";"0.043512 +/- 0.067002";"0.064431 (0.015406;0.12017)";"0.0495 (-0.0068125;0.085975)";0.30438;0.50631;0.42839;0.49459;0.49459
"X_541253.txt.gz1.tbl.gz";"-0.15801 +/- 0.070538";"-0.15234 +/- 0.07221";"-0.20463 (-0.20463;-0.099812)";"-0.1755 (-0.20463;-0.08775)";5.7576e-09;0.69685;0.89433;0.74454;0.74454
"X_543763.txt.gz1.tbl.gz";"-0.023807 +/- 0.044931";"-0.024173 +/- 0.047519";"0 (0;0)";"0 (0;0)";2.4409e-16;0.9743;0.75223;0.9743;0.9743
"X_544167.txt.gz1.tbl.gz";"-0.1406 +/- 0.037106";"-0.13358 +/- 0.045396";"-0.1628 (-0.1628;-0.10175)";"-0.1628 (-0.1628;-0.0814)";1.2481e-14;0.5078;0.26954;0.5078;0.5078
"X_545933.txt.gz1.tbl.gz";"-0.07683 +/- 0.094563";"-0.06831 +/- 0.083702";"-0.02725 (-0.14178;0)";"-0.0545 (-0.14178;0)";2.0494e-10;0.42231;0.47711;0.68294;0.68294
"X_546262.txt.gz1.tbl.gz";"0.19269 +/- 0.050564";"0.19404 +/- 0.055556";"0.17775 (0.17775;0.24285)";"0.21495 (0.17775;0.21495)";2.6012e-09;0.95843;0.59847;0.91803;0.91803
"X_546322.txt.gz1.tbl.gz";"-0.050284 +/- 0.041883";"-0.059567 +/- 0.046122";"-0.07375 (-0.07375;0)";"-0.07375 (-0.07375;0)";2.3406e-11;0.90772;0.58978;0.39746;0.39746
"X_546532.txt.gz1.tbl.gz";"0.081545 +/- 0.050934";"0.096 +/- 0.048562";"0.078 (0.078;0.078)";"0.078 (0.078;0.156)";4.7476e-11;0.8247;0.78396;0.22539;0.22539
"X_548261.txt.gz1.tbl.gz";"0.072982 +/- 0.050187";"0.069473 +/- 0.052203";"0.0669 (0.0669;0.1338)";"0.0669 (0;0.1338)";3.7863e-10;0.63462;0.82379;0.77952;0.77952
"X_54831.txt.gz1.tbl.gz";"-0.095693 +/- 0.078738";"-0.087397 +/- 0.069227";"-0.10025 (-0.17544;0)";"-0.10025 (-0.10025;0)";3.2446e-10;0.39514;0.45262;0.63124;0.63124
"X_548673.txt.gz1.tbl.gz";"-0.06224 +/- 0.060233";"-0.077663 +/- 0.07685";"-0.042375 (-0.11448;0)";"-0.042375 (-0.11448;0)";4.2214e-08;0.36058;0.18597;0.38752;0.38752
"X_54877.txt.gz1.tbl.gz";"0.0025982 +/- 0.049626";"0.017139 +/- 0.040418";"0.01233 (-0.032298;0.032243)";"0.02219 (-0.002785;0.04365)";0.035291;0.13705;0.22491;0.16014;0.16014
"X_550862.txt.gz1.tbl.gz";"0.079895 +/- 0.06574";"0.070823 +/- 0.06193";"0.0837 (0;0.14648)";"0.0837 (0;0.0837)";3.0206e-10;0.8247;0.73088;0.55071;0.55071
"X_55097.txt.gz1.tbl.gz";"0.0806 +/- 0.090859";"0.041969 +/- 0.063361";"0.0682 (0;0.1364)";"0 (0;0.1364)";3.1882e-14;0.0080531;0.028842;0.024735;0.024735
"X_553253.txt.gz1.tbl.gz";"-0.042689 +/- 0.052513";"-0.049499 +/- 0.066688";"0 (-0.10435;0)";"0 (-0.10435;0)";3.8886e-13;0.65989;0.19412;0.65989;0.65989
"X_554222.txt.gz1.tbl.gz";"0.46928 +/- 0.15475";"0.49051 +/- 0.17115";"0.6073 (0.30365;0.6073)";"0.6073 (0.30365;0.6073)";8.0303e-14;0.60125;0.57378;0.60125;0.60125
"X_580324.txt.gz1.tbl.gz";"0.028317 +/- 0.025887";"0.046109 +/- 0.030357";"0.029367 (0.0059;0.053117)";"0.053117 (0.029083;0.073042)";0.00077649;0.42251;0.37905;0.014004;0.014004
"X_580777.txt.gz1.tbl.gz";"-0.1932 +/- 0.050986";"-0.18785 +/- 0.063716";"-0.2237 (-0.2237;-0.13981)";"-0.2237 (-0.2237;-0.11185)";3.0269e-15;0.71835;0.22434;0.71835;0.71835
"X_581025.txt.gz1.tbl.gz";"-0.077836 +/- 0.056939";"-0.067212 +/- 0.049485";"-0.091002 (-0.12625;-0.03484)";"-0.07259 (-0.1072;-0.045155)";0.0021081;0.32564;0.41207;0.39188;0.39188
"X_581358.txt.gz1.tbl.gz";"-0.21835 +/- 0.058167";"-0.20857 +/- 0.076858";"-0.2562 (-0.2562;-0.14409)";"-0.2562 (-0.2562;-0.1281)";2.5382e-14;0.5816;0.13315;0.5816;0.5816
"X_583749.txt.gz1.tbl.gz";"-0.070609 +/- 0.086859";"-0.081874 +/- 0.11031";"0 (-0.1726;0)";"0 (-0.1726;0)";3.8886e-13;0.65989;0.19412;0.65989;0.65989
"X_584360.txt.gz1.tbl.gz";"0.050419 +/- 0.04339";"0.056961 +/- 0.046913";"0.037625 (0.0094062;0.091056)";"0.0587 (0.0094062;0.096325)";3.5913e-06;0.65782;0.66135;0.55867;0.55867
"X_584624.txt.gz1.tbl.gz";"0.078466 +/- 0.049037";"0.076132 +/- 0.045327";"0.06905 (0.06905;0.1381)";"0.06905 (0.06905;0.1381)";1.5986e-10;0.5979;0.64922;0.83449;0.83449
"X_586178.txt.gz1.tbl.gz";"0.040677 +/- 0.081356";"0.031102 +/- 0.079975";"0.017475 (0.017475;0.13285)";"0.017475 (-0.036712;0.13285)";1.8117e-08;0.92337;0.92208;0.62232;0.62232
"X_588555.txt.gz1.tbl.gz";"-0.33282 +/- 0.22867";"-0.36525 +/- 0.22859";"-0.31655 (-0.56431;-0.31655)";"-0.31655 (-0.6331;-0.31655)";3.5087e-10;0.7893;0.99836;0.55812;0.55812
"X_590011.txt.gz1.tbl.gz";"0.022745 +/- 0.038017";"0.039562 +/- 0.051577";"0 (0;0.06255)";"0 (0;0.0834)";1.7959e-13;0.15821;0.10202;0.15821;0.15821
"X_590391.txt.gz1.tbl.gz";"0.24074 +/- 0.037104";"0.2328 +/- 0.045792";"0.2522 (0.2522;0.2522)";"0.2522 (0.2522;0.2522)";3.4921e-18;0.4575;0.25025;0.4575;0.4575
"X_593942.txt.gz1.tbl.gz";"-0.19882 +/- 0.083295";"-0.21247 +/- 0.086964";"-0.1411 (-0.2822;-0.1411)";"-0.2822 (-0.2822;-0.1411)";2.0297e-12;0.96768;0.80758;0.5133;0.5133
"X_595730.txt.gz1.tbl.gz";"-0.048493 +/- 0.027247";"-0.040036 +/- 0.036367";"-0.05615 (-0.05615;-0.0215)";"-0.05615 (-0.05615;-0.0215)";2.154e-06;0.16186;0.12045;0.314;0.314
"X_664755.txt.gz1.tbl.gz";"-0.041125 +/- 0.049154";"-0.041125 +/- 0.054252";"0 (-0.08225;0)";"0 (-0.08225;0)";9.3623e-13;1;0.58128;1;1
"X_664951.txt.gz1.tbl.gz";"-0.02827 +/- 0.042358";"-0.052399 +/- 0.052488";"0 (-0.08885;0)";"-0.08885 (-0.08885;0)";1.2584e-12;0.10833;0.24159;0.050547;0.050547
"X_762840.txt.gz1.tbl.gz";"0.29429 +/- 0.081992";"0.23634 +/- 0.1139";"0.32315 (0.20378;0.34985)";"0.25012 (0.15038;0.33994)";1.6522e-07;0.0088058;0.07954;0.028342;0.028342
"X_764029.txt.gz1.tbl.gz";"0.14203 +/- 0.054754";"0.1461 +/- 0.05223";"0.1838 (0.0919;0.1838)";"0.1838 (0.0919;0.1838)";1.4273e-13;0.75007;0.78622;0.75007;0.75007
"X_765511.txt.gz1.tbl.gz";"-0.083864 +/- 0.047203";"-0.11011 +/- 0.043912";"-0.0738 (-0.12915;-0.0738)";"-0.1476 (-0.1476;-0.0738)";7.7875e-12;0.47876;0.67649;0.016687;0.016687
"X_84679.txt.gz1.tbl.gz";"0.047759 +/- 0.043611";"0.069277 +/- 0.049531";"0.07505 (0;0.07505)";"0.07505 (0.018762;0.07505)";1.0377e-10;0.87787;0.47929;0.068118;0.068118
"X_846819.txt.gz1.tbl.gz";"0.10412 +/- 0.038637";"0.10824 +/- 0.033066";"0.1309 (0.06545;0.1309)";"0.1309 (0.06545;0.1309)";2.4143e-14;0.62033;0.36141;0.62033;0.62033
"X_84794.txt.gz1.tbl.gz";"0.22814 +/- 0.035162";"0.20836 +/- 0.052518";"0.239 (0.239;0.239)";"0.239 (0.14937;0.239)";1.1492e-16;0.099852;0.035019;0.099852;0.099852
"X_848029.txt.gz1.tbl.gz";"0.019473 +/- 0.04228";"0.037073 +/- 0.05936";"0 (0;0)";"0 (0;0.1071)";4.1129e-15;0.19709;0.070905;0.19709;0.19709
"X_917321.txt.gz1.tbl.gz";"-0.14028 +/- 0.056829";"-0.14136 +/- 0.060019";"-0.1546 (-0.1969;-0.0773)";"-0.1546 (-0.1969;-0.0773)";2e-06;0.75122;0.75819;0.94039;0.94039
"X_91776.txt.gz1.tbl.gz";"-0.035262 +/- 0.044028";"-0.031146 +/- 0.056387";"-0.037475 (-0.048675;0.010231)";"-0.026275 (-0.09735;0.0224)";1.5213e-06;0.25922;0.17956;0.75275;0.75275
"X_918515.txt.gz1.tbl.gz";"-0.098932 +/- 0.047734";"-0.087432 +/- 0.052758";"-0.07255 (-0.1451;-0.07255)";"-0.07255 (-0.1451;-0.07255)";1.1437e-10;0.87787;0.57613;0.3593;0.3593
"X_91872.txt.gz1.tbl.gz";"-0.15625 +/- 0.085414";"-0.13823 +/- 0.091029";"-0.17243 (-0.21712;-0.090283)";"-0.17243 (-0.21712;-0.086217)";1.6056e-06;0.90272;0.72017;0.40827;0.40827
"X_9188119.txt.gz1.tbl.gz";"-0.058436 +/- 0.050708";"-0.043265 +/- 0.049636";"-0.08035 (-0.08035;0)";"0 (-0.08035;0)";5.4615e-12;0.56122;0.90279;0.21058;0.21058
"X_91974.txt.gz1.tbl.gz";"0.6215 +/- 0.44965";"0.73974 +/- 0.44965";"0.62308 (0.59707;0.65775)";"0.62308 (0.5884;1.2722)";2.7539e-09;0.71045;0.99998;0.27869;0.27869
"X_9202309.txt.gz1.tbl.gz";"-0.0049299 +/- 0.039376";"-0.0017418 +/- 0.031893";"0 (-0.037294;0)";"0 (-0.00275;0)";2.3672e-07;0.27928;0.21222;0.69545;0.69545
